Barrier,Respondent_Count,Percentage_of_Those_With_Barriers,Percentage_of_All_Respondents
available time in my schedule,1,0.1,0.1
"Traffic, Tech Bros",1,0.1,0.1
"City give grants, provide municipal discounted buildings rentals to organizations that actually gave no relevance to the Culture. For example ""Woman in Water"" funded by CoA. And actual Cultural Centers are not funded by City, moreover staff at Asian American Resource Center makes even weekly Saturday rentals unavailable for Cultural Centers. These are facts and reality.",1,0.1,0.1
"Lack of time, I work evenings",1,0.1,0.1
"I go to San Antonio for cultural events & museums more than Austin.  There just aren't enough opportunities here.  It's mostly expensive, private, for-profit events ar4ound food & music available here.",1,0.1,0.1
"Other activities, commitments, responsibilities",1,0.1,0.1
I'm outside the Austin area - tend to find out a bit too late to plan a drive in,1,0.1,0.1
"I don’t want to attend events where intoxicants are sold, I don’t want to be pushed around by inebriated patrons. I don’t drink, so I look for sober, earlier in the day, family friendly things",1,0.1,0.1
Late times/lack of matinees,1,0.1,0.1
"Having to work, often into the night",1,0.1,0.1
Community In-Fighting and Fear,1,0.1,0.1
Accessibility for the mobility challenged,1,0.1,0.1
"Until there is a public transportation network to all arts venues, we need to stop pretending that Austinites won't drive cars.",1,0.1,0.1
NON-COMPLIANT with ADA Accessibility,1,0.1,0.1
"The time of when activities occur, due to work schedule. My work schedule is all over the place though.",1,0.1,0.1
too many happening in a single week or weekend,1,0.1,0.1
time - I am a parent,1,0.1,0.1
"Often events will clump up at the same time of year, due to delayed cultural arts funding (organizers need to wait until they have cash in hand, but also need to meet their deadline) - making it impossible to see everything I'd like to see, because a half year's worth of events are sometimes clustered all into one month.",1,0.1,0.1
time and parenting,1,0.1,0.1
"As a long-time, local artist, I sometimes feel that the city’s current cultural focus prioritizes artists who fit into narratives of external hardship or underrepresented demographics—often leaving those of us who are older, rooted in Austin, and steadily working in the arts feeling overlooked. While I deeply support diverse representation, this shift can make it harder for local, established artists to feel included or valued in current arts initiatives.",1,0.1,0.1
Things either very late at night or very loud,1,0.1,0.1
lack of long-term funding and staff support to put on events,1,0.1,0.1
Childcare is SO expensive! (lack of Kid Friendly events - that I know about. I would LOVE to take my daughter to a kid friendly orchestra performance,1,0.1,0.1
I have work in the morning,1,0.1,0.1
I found the lack of dance spots and/or locations to host dances surprisingly lacking.  Some feel there is a bias in lack of affordable dance halls to host events according to some in the community.,1,0.1,0.1
traffic getting to events,1,0.1,0.1
"time is limited, and I can't see it all",1,0.1,0.1
"Mobility and Disability assistance, outreach, and management -- we need a LOT of help in this arena. ACL Fest, as an example, is HOPELESS",1,0.1,0.1
having to work all the time to meet basic needs,1,0.1,0.1
Lack of childcare,1,0.1,0.1
Lack of covid-19 safety measures,1,0.1,0.1
Not enough free time to go,1,0.1,0.1
"Programming quality doesn’t match prices, especially classical music",1,0.1,0.1
could be more accessible to various communities including deaf and hard of hearing.,1,0.1,0.1
ADA Accessibility if outdoors and heat,1,0.1,0.1
Being busy with work and family,1,0.1,0.1
Gatekeeping,1,0.1,0.1
Lack of awareness self- imposed as I am cutting off social media.  Returning to looking for where the Chronicle is available.,1,0.1,0.1
"lack of time because of working Saturdays, nights",1,0.1,0.1
ADA accessibility,1,0.1,0.1
childcare,1,0.1,0.1
"Access is solid, more concerned about artists getting paid so they are available to perform",1,0.1,0.1
Conflicts with personal/work schedule,1,0.1,0.1
Physical accessibility in music venues,1,0.1,0.1
"Over crowded events, ie Blues on the Green",1,0.1,0.1
Lack of accessibility for disabled people,1,0.1,0.1
I don’t stay up as late as I used to,1,0.1,0.1
Events don’t align with schedule,1,0.1,0.1
Echo chambers and gatekeepers keep all the major stages unacessible to artists like myself,1,0.1,0.1
Chilcare,1,0.1,0.1
Disability accessibility,1,0.1,0.1
Life is hard for artists and events are difficult to pull off. Artists are displaced from this city and not here,1,0.1,0.1
"We are losing our music venues due to Austins high taxes and rapid construction, which is making live music more scarce.",1,0.1,0.1
Traffic and parking,1,0.1,0.1
Lack of offerings for disabled folks,1,0.1,0.1
"It has become more difficult to get to anything in the city- and I live in deep eddy!   I’m still very sick over the loss of threadgills, shady grove, and other small venues we don’t have near enough spread across the city- it’s all moving east and also dominated by younger generation.   We need blues clubs jazz clubs bluegrass etc.   west of Lamar there is a cultural desert.   Never anything west of Mopac.    No safe way to bike across Mopac either.  What happened to our big annual Art City Austin?   You should buy back shady grove from evil developers that have left it as a sad eye sore.   You should start some live music ideas that are mobile and encourage zero traffic music and art walks for all ages.    Buy up property and encourage more art events and music spaces for local musicians like we used to have.   It’s really just sad that Art City Austin just disappeared .   As big a city as ATX has become we have a lack of art festivals.   Can you not buy back shady grove",1,0.1,0.1
"Not many Covid-safer events (masks encouraged or required, air purifiers, testing offered)",1,0.1,0.1
"Barriers for arts enthusiasts should not be guaged as important as the needs of those orgs and individuals who are PRODUCING the events and activities. ACME should put them FIRST in assistance in making things better, easier, more affordable, streamlined.",1,0.1,0.1
Weather,1,0.1,0.1
We need a festival international,1,0.1,0.1
Not substantive,1,0.1,0.1
High price of parking and Uber,1,0.1,0.1
"Generally, I attend inexpensive to free events. There are plenty of them. But when I want to see a concert at a major venue, the tickets are generally too expensive. I also find it frustrating that so many non-profit events end up being fundraisers. While I want to help and do make donations, it feels like it’s mostly artists and creatives attending, so basically those who aren’t earning much are giving to our own community because our community is not being supported. Finding free time is also a barrier. It’s hard to earn enough money in this city as a non-salaried worker and also have time to get out for fun. I don’t get out for much of the free events, unless it’s visual arts-related and basically part of my need to network.",1,0.1,0.1
Lack of time,1,0.1,0.1
